,hate-speech,Human cn,contranarrativa,Ofensividad,Postura,Informatividad,Veracidad,Edición,Comparación H-M,Comentarios,target
2334,Los musulmanes no son bienvenidos aquí. No son más que una panda de hipócritas que no quieren asimilarse.,"Hay muchos musulmanes en el Reino Unido, y los musulmanes han formado parte de este país desde sus inicios. Son nuestros hermanos y hermanas, y debemos acogerlos con los brazos abiertos.","Los musulmanes, como cualquier otro grupo de personas, tienen diferentes creencias y prácticas, pero todos merecen respeto y la oportunidad de integrarse en la sociedad. La generalización y estigmatización no contribuye a la convivencia y al entendimiento mutuo.",1,3,3,3,0,2,,MUSULMANES
2335,El Islam es una mala religión.,"La inmensa mayoría de los musulmanes son buenas personas, sólo son diferentes de nosotros en algunas tradiciones.","No estoy de acuerdo con esa afirmación. Todas las religiones tienen aspectos positivos y negativos, y no se puede juzgar a una religión entera basándose en las acciones de unos pocos. Es importante recordar que hay muchas personas buenas y amables que practican el Islam y que contribuyen positivamente a la sociedad.",1,3,3,3,0,2,,MUSULMANES
2336,Deberíamos perseguir a los musulmanes.,"El Islam es una fe pacífica, pero los musulmanes son excluidos y estigmatizados debido a las acciones de una minoría. Estamos olvidando que las culturas y las religiones pueden coexistir en armonía.","La persecución de cualquier grupo religioso o étnico es inaceptable y va en contra de los valores fundamentales de justicia, igualdad y respeto. Debemos trabajar juntos para fomentar la comprensión y la tolerancia entre todas las comunidades.",1,3,3,3,0,2,,MUSULMANES
2337,"Si los musulmanes fueran pacíficos, no habría persecución de cristianos.","El problema no es el Islam, sino la falta de derechos humanos y de derechos democráticos fundamentales.","Es incorrecto generalizar a toda una comunidad religiosa basándose en las acciones de unos pocos extremistas. La mayoría de los musulmanes son pacíficos y respetuosos con otras religiones, al igual que la mayoría de las personas de otras creencias. La persecución de cristianos no es representativa del Islam en sí mismo, sino de acciones extremistas que van en contra de los valores fundamentales de esta fe.",1,3,3,3,0,2,,MUSULMANES
2338,La policía y los políticos están encubriendo a estas bandas musulmanas de seducción de menores - ¡Son traidores a su propio pueblo!,¿Por qué dijiste eso? Nunca he oído nada al respecto.,"No hay evidencia que respalde la afirmación de que la policía y los políticos están encubriendo a cualquier grupo específico. Es importante recordar que la protección de los menores y la lucha contra el abuso infantil es responsabilidad de todos, sin importar la religión o el origen étnico de los perpetradores. En lugar de difamar a grupos enteros, debemos centrarnos en proteger a las víctimas y prevenir futuros abusos.",1,3,3,3,0,2,,MUSULMANES
2339,Necesitamos leyes especiales para controlar a los musulmanes.,¿Por qué? Todas las religiones son bienvenidas aquí.,"Lo que necesitamos es promover la comprensión y el respeto mutuo entre todas las comunidades, incluidos los musulmanes, en lugar de buscar leyes que puedan conducir a la discriminación y la división. La educación y el diálogo son más efectivos para generar un ambiente de armonía y solidaridad.",1,3,3,3,0,2,,MUSULMANES
2340,Occidente debería dejar de apaciguar a los musulmanes. Están arruinando nuestro hermoso mundo.,"Sólo porque sean de una fe diferente, ¿realmente crees que estas personas están tratando de arruinar algo?","No creo que sea justo culpar a una religión o grupo de personas por los problemas del mundo. En lugar de fomentar la división, deberíamos buscar la comprensión mutua y el respeto entre las diferentes culturas y creencias. Juntos, podemos construir un mundo más armonioso y pacífico.",1,3,3,3,0,2,,MUSULMANES
2341,"Todas las versiones del islam aplican la sharia, por lo que todas son extremistas. No todos los musulmanes cometen actos violentos, pero todos saben que la yihad es el núcleo de su religión y la apoyan.","¿Podría aportar alguna prueba de lo que dice, porque es muy extremo?","El Islam, como cualquier otra religión, tiene diversas interpretaciones y prácticas. No todos los musulmanes siguen la misma versión del Islam ni interpretan la sharia de la misma manera. La yihad tiene diferentes significados y no siempre se relaciona con la violencia. Es importante no generalizar y reconocer la diversidad y la individualidad de las personas dentro de cualquier grupo religioso.",1,3,3,3,0,2,,MUSULMANES
2342,El Islam es una ideología totalitaria que promueve la muerte por lapidación por blasfemia y la esclavitud.,"El Corán no contiene nada que yo consideraría un problema. Entonces, ¿por qué dice que es una ideología totalitaria?","El Islam es una religión con una amplia diversidad de creencias y prácticas, y no es justo ni exacto simplificarla como una ideología totalitaria. Es importante recordar que existen diferentes interpretaciones y enfoques dentro del Islam, y que muchas comunidades musulmanas promueven la paz, la tolerancia y la convivencia pacífica con otras religiones y culturas.",1,3,3,3,0,2,,MUSULMANES
2343,La sharia en Gran Bretaña es una vergüenza y debe detenerse inmediatamente.,"Para que conste: La sharia no es ley en Gran Bretaña. Creo que el islam es amor, no odio.","La sharia es un sistema de leyes religiosas dentro del Islam, pero no se aplica en Gran Bretaña como ley oficial. En una sociedad libre y democrática, todas las comunidades religiosas tienen derecho a practicar sus creencias, siempre y cuando respeten las leyes y normas del país en el que viven.",1,3,3,3,0,2,,MUSULMANES
2344,"Los musulmanes no tienen cabida en una sociedad civilizada, son incompatibles con la dignidad humana, la libertad y el derecho a la libertad religiosa.","Si realmente quiere dar una plataforma a los prejuicios antimusulmanes, le sugeriría que analizara las verdaderas razones por las que las personas de distintas creencias tienen una experiencia diferente en este mundo. No encontrará más fundamento para sus prejuicios que el propio prejuicio.","Creo que es importante recordar que los musulmanes son individuos con sus propias creencias y valores, y no se pueden generalizar de esa manera. En una sociedad civilizada, debemos fomentar la comprensión y el respeto por las diferencias culturales y religiosas.",1,3,3,3,0,2,,MUSULMANES
2345,Los musulmanes construyen mezquitas por todas partes.,"Además de que esto no es cierto, nadie te obliga a ir a una Mezquita, puedes decidir por ti mismo si es un lugar para ti.","Las mezquitas son lugares de culto y reunión para la comunidad musulmana, al igual que las iglesias, sinagogas y templos de otras religiones. La construcción de mezquitas es un reflejo de la diversidad cultural y religiosa de nuestra sociedad, y no debería ser motivo de preocupación.",1,3,3,3,0,2,,MUSULMANES
2346,"Los musulmanes son violentos, deberían irse a casa.","No puedo decir que crea en todas las religiones, pero me gustan las que no promueven el odio ni la violencia contra otras personas, por lo tanto la igualdad y la libertad, y creo que el Islam se parece más a esto de lo que se piensa.","No todos los musulmanes son violentos, al igual que no todas las personas de cualquier religión o grupo son violentos. Generalizar de esta manera es injusto y no contribuye a un ambiente de respeto y tolerancia. Debemos aprender a convivir en armonía y aceptar nuestras diferencias culturales y religiosas.",1,3,3,3,0,2,,MUSULMANES
2347,A los musulmanes les gusta dominar y violar a los no creyentes.,"Lo siento, pero esto es falso. Están aquí para integrarse, no para violar a los no creyentes.",Esa afirmación es una generalización injusta y ofensiva. No se puede juzgar a toda una comunidad religiosa basándose en las acciones de unos pocos individuos. Es importante recordar que hay personas buenas y malas en todas las comunidades y religiones.,1,3,3,3,0,2,,MUSULMANES
2348,"Por cada musulmán en EE.UU. hay al menos 10 ciudadanos estadounidenses, en muchos países europeos la proporción es mucho peor. Esto es el principio de una invasión.","Creo que se puede decir que un musulmán equivale a 20 no musulmanes en muchos países europeos. Así que, no se preocupe, no hay ninguna invasión en un futuro previsible.","La diversidad cultural y religiosa enriquece a una sociedad y fomenta el entendimiento y la tolerancia entre las personas. En lugar de verlo como una invasión, podemos verlo como una oportunidad para aprender y crecer juntos como seres humanos.",1,3,3,3,0,2,,MUSULMANES
2349,"Los árabes no pueden votar por el Brexit, tenemos religiones y culturas diferentes.",No entiendo por qué crees que los musulmanes serían diferentes en este tema.,"No creo que las diferencias culturales o religiosas sean un impedimento para que alguien vote sobre un tema político y económico como el Brexit. Todos los ciudadanos tienen derecho a expresar su opinión y participar en el proceso democrático, independientemente de su origen étnico o creencias religiosas.",1,3,3,3,0,2,,MUSULMANES
2350,A todos los musulmanes sólo les importa la Sharia.,"Todas las religiones tienen ideas diferentes sobre cómo debe funcionar el mundo. Pero no veo ninguna razón para restringir el derecho de cualquier religión a practicar su culto y su propia forma de vida, siempre que respete nuestras leyes.","La comunidad musulmana es diversa y tiene una amplia variedad de opiniones y creencias. No se puede generalizar a todos los musulmanes con una sola perspectiva. Además, muchos musulmanes viven en armonía y respeto en sociedades no musulmanas y contribuyen positivamente a ellas.",1,3,3,3,0,3,No veo relación entre el hatespeech y la contranarrativa.,MUSULMANES
2351,"El problema del Islam es que promueve el asesinato, la perversión sexual, la violencia contra las mujeres y el robo.","Una religión puede ser violenta y también pacífica. Los extremistas son los que promueven muchas cosas negativas en sus seguidores: asesinatos, perversión sexual, violencia contra las mujeres, etc. Pero los extremistas son una pequeña parte del islam.","El problema no está en el Islam, sino en la interpretación errónea y la manipulación de sus enseñanzas por parte de individuos extremistas. El verdadero Islam promueve la paz, la igualdad y la justicia para todos, independientemente de su género, raza o religión.",1,3,3,2,0,2,La mujer en el matrimonio.,MUSULMANES
2352,"Los musulmanes no tienen nada que aportar a nuestra sociedad, sólo han venido a gobernarnos con violencia.",El Islam es una religión de paz.,"Los musulmanes, al igual que cualquier otro grupo religioso o étnico, son individuos con habilidades, talentos y contribuciones únicas para ofrecer a nuestra sociedad. No es justo ni exacto generalizar a todo un grupo de personas basándonos en las acciones de unos pocos. La diversidad cultural enriquece nuestra sociedad y nos permite aprender y crecer juntos.",1,3,3,3,0,2,,MUSULMANES
2353,"Los musulmanes no tienen nada que aportar a nuestra sociedad, sólo han venido a gobernarnos con violencia y nadie hace nada al respecto.","Tienen derecho a opinar, pero también tienen que cumplir la ley, de lo contrario son juzgados y condenados como cualquier otra persona. No deben preocuparse.","Creo que es importante recordar que no se puede generalizar a todo un grupo de personas basándose en las acciones de unos pocos. Hay muchos musulmanes que han hecho contribuciones valiosas y positivas a nuestras sociedades en diversos campos, como la ciencia, la medicina, la educación y la cultura. La convivencia pacífica y el respeto mutuo son clave para el progreso y la prosperidad de cualquier sociedad.",1,3,3,3,0,0,,MUSULMANES
2354,Los árabes son la peor gente del planeta. Quieren dominar el mundo.,No es cierto. No son la potencia dominante en la mayor parte del mundo ni lo serán pronto.,"Creo que es injusto e incorrecto hacer generalizaciones negativas sobre cualquier grupo étnico o cultural. Hay personas maravillosas y talentosas de todas las nacionalidades y culturas, incluyendo a los árabes. En lugar de difundir odio y división, deberíamos promover la comprensión y la cooperación entre todas las personas.",1,3,3,3,0,2,,MUSULMANES
2355,¿Tiene el Islam algo que decir sobre cómo acabar con el calentamiento global? La culpa es de ellos.,"En un plano más concreto, las causas del cambio climático son resultado tanto de las actividades humanas como de los efectos del uso de combustibles fósiles. Para afirmar que la religión desempeña algún papel en ello, hacen falta pruebas.","El calentamiento global es un problema que afecta a todo el planeta y requiere de la colaboración de todos, independientemente de su religión o creencias. No es justo culpar a una sola religión por este problema global. Debemos trabajar juntos para encontrar soluciones sostenibles y proteger nuestro medio ambiente.",1,3,3,3,1,2,"Hay que cambiar ""culpar a una sola religion"" por ""culpar a esta religión"" o ""culpar a la religión"". Si lo mantemos como está da a entender que el problema no es solo de esta religión sino que hay otras que también tienen la culpa.",MUSULMANES
2356,"La sociedad musulmana, la cultura, la religión y la inmigración son en gran parte culpables del aumento de la llamada radicalización.","Estás confundido, porque si un musulmán fuera amenazado por un cristiano radical, ¿dirías que la radicalización fue causada por el cristianismo?","La radicalización es un fenómeno complejo que no puede atribuirse únicamente a una cultura, religión o grupo de personas en particular. Es importante abordar las causas fundamentales de la radicalización, como la exclusión social, la falta de oportunidades y la discriminación, en lugar de culpar a una comunidad específica.",1,3,3,3,0,2,,MUSULMANES
2357,El Islam es un enemigo probado de la cultura occidental.,"Eso no es cierto, el Islam no es tan diferente de otras religiones que conozco: también promueve la paz y la inclusión. Muchas de sus creencias y prácticas son totalmente compatibles con la cultura occidental.","El Islam, como cualquier otra religión, tiene diversas interpretaciones y creencias. No es justo generalizar a todos los musulmanes como enemigos de la cultura occidental. De hecho, hay muchos musulmanes que han contribuido de manera significativa a la cultura y la sociedad occidental en diversos campos. Debemos enfocarnos en construir puentes de entendimiento y respeto en lugar de promover la división y el miedo.",1,3,3,3,0,2,,MUSULMANES
2358,Los musulmanes creen que cuando Mahoma resucite gobernarán el mundo.,"No creo que sea el caso, y menos en Inglaterra. A los musulmanes les interesa tener la oportunidad de practicar libremente su religión, más que ""gobernar el mundo"".","La comprensión y el respeto por las creencias religiosas de los demás es fundamental en una sociedad plural y tolerante. No deberíamos juzgar a un grupo entero de personas basándonos en malentendidos o tergiversaciones de sus creencias. En lugar de eso, podríamos aprender más sobre las diferentes religiones y culturas para fomentar la armonía y la convivencia pacífica.",1,3,3,3,0,1,,MUSULMANES
2359,El islam es una religión violenta.,La violencia no forma parte del Islam. No se puede decir que una religión es violenta sin pruebas.,"El islam, como cualquier otra religión, tiene diferentes interpretaciones y seguidores con diversas creencias y prácticas. No es justo ni preciso generalizar a todos los musulmanes como violentos, ya que la gran mayoría aboga por la paz y la convivencia pacífica con los demás.",1,3,3,3,0,2,,MUSULMANES
2360,¿Por qué tanta gente odia tanto a los musulmanes? Debe ser porque son diferentes a nosotros.,La combinación de distintas religiones ha creado nuevas y valiosas culturas e ideas que enriquecen la vida.,"El odio hacia cualquier grupo de personas se basa en la falta de comprensión y la ignorancia. En lugar de centrarnos en nuestras diferencias, deberíamos celebrar nuestra diversidad y aprender unos de otros para construir una sociedad más inclusiva y armoniosa.",1,3,3,3,0,2,,MUSULMANES
2361,Los musulmanes son un problema en el Reino Unido. En su mayoría son pobres y viven en barrios de mala muerte. Son un problema porque son diferentes a nosotros.,"Hay muchos musulmanes que viven en lugares como Islington, un suburbio de Londres, donde hay una ""zona de moda"" con menos delincuencia y buenas escuelas.","Es importante recordar que no debemos juzgar a un grupo entero de personas basándonos en estereotipos negativos. La diversidad y la inclusión son valores importantes en una sociedad democrática, y todos merecen la oportunidad de prosperar y contribuir a su comunidad, independientemente de su origen o creencias.",1,3,3,3,0,2,,MUSULMANES
2362,"Vivimos en una sociedad peligrosa, con bandas musulmanas y delincuentes por todo el país.","A pesar de que la prensa local culpa a todos los musulmanes, por supuesto, no hay pruebas de que los musulmanes sean más propensos a la delincuencia que la población general. El principal problema es la pobreza y, a menudo, las enfermedades mentales y la adicción, más que una única fe.","No estoy de acuerdo con esta generalización negativa. La mayoría de las personas, incluidos los musulmanes, son ciudadanos respetuosos de la ley que contribuyen positivamente a la sociedad. Es injusto culpar a todo un grupo religioso por las acciones de unos pocos delincuentes.",1,3,3,3,0,2,,MUSULMANES
2363,Los musulmanes son una carga para la sociedad inglesa.,"En el Reino Unido, los musulmanes constituyen ya una proporción significativa de la población, lo que los convierte en la segunda religión más popular del país. En particular, los musulmanes de segunda generación encarnan la posible convergencia de la cultura británica con el islam.","Los musulmanes, al igual que cualquier otro grupo religioso o cultural, son parte integral de la sociedad. Cada individuo aporta sus habilidades, talentos y contribuciones únicas, independientemente de su religión o etnia. Es importante reconocer y celebrar nuestra diversidad en lugar de etiquetar a un grupo completo de personas como una ""carga"".",1,3,3,3,0,2,,MUSULMANES
2364,Los árabes quieren apoderarse del mundo.,"Se pueden observar los mejores y peores aspectos de cada cultura, y aprender algo de ellos.","No creo que sea justo generalizar a todo un grupo étnico con esa afirmación. Las personas tienen diferentes objetivos y aspiraciones, independientemente de su origen étnico. Es importante recordar que la diversidad cultural enriquece nuestra sociedad y promueve la comprensión y la tolerancia.",1,3,3,3,0,2,,MUSULMANES
2365,No estamos hablando del Islam. Los musulmanes son una pequeña minoría en nuestro país. Aún podemos prohibirlos.,¿Qué pasa con los más de 3 millones de musulmanes que hay en Gran Bretaña? El islam es la segunda religión del Reino Unido y contribuye mucho a nuestra cultura y economía.,La diversidad cultural y religiosa es una parte valiosa de nuestra sociedad y la convivencia pacífica entre diferentes grupos es esencial para mantener un ambiente sano y armonioso en nuestro país. Prohibir a un grupo específico basado en su religión no es una solución y va en contra de los valores democráticos y de inclusión que todos debemos promover.,1,3,3,3,0,2,,MUSULMANES
2366,Los musulmanes son un problema en el Reino Unido. No son bienvenidos aquí. No son como las demás religiones.,Muchos musulmanes viven en el Reino Unido y muchos están muy orgullosos de su religión. Sugerir que los musulmanes son un problema es simplemente falso.,"Los musulmanes son parte integral de la sociedad del Reino Unido y han estado contribuyendo positivamente a la cultura, la economía y la vida comunitaria durante décadas. Es importante recordar que la diversidad y la inclusión son valores fundamentales en una sociedad democrática y tolerante como la nuestra.",1,3,3,3,0,2,,MUSULMANES
2367,El Islam es una ideología política que promueve el extremismo violento.,¿Está seguro? El Corán no aboga por la violencia. Sólo está ahí porque existe la necesidad de un terreno común entre personas que no desean ver transformaciones drásticas.,"El Islam es una religión y una forma de vida que promueve la paz, la tolerancia y el respeto hacia los demás. No todas las personas que practican el Islam son extremistas, y es importante no generalizar ni estigmatizar a una comunidad entera basándonos en las acciones de unos pocos individuos.",1,3,3,3,0,2,,MUSULMANES
2368,El islam es una religión de violencia.,"Las Escrituras enseñan que todos los hombres han sido creados iguales. Si hay que creer a la Biblia, también el Corán es pacífico y compatible con la sociedad democrática.","El Islam, como cualquier otra religión, tiene diferentes interpretaciones y seguidores con diversas creencias y prácticas. No es justo generalizar y etiquetar a toda una religión como violenta. La mayoría de los musulmanes son personas pacíficas y contribuyen positivamente a la sociedad.",1,3,3,3,0,2,,MUSULMANES
2369,¿Multicultural significa que tengo que aprender toda esa mierda musulmana?,"La religión cristiana es la principal de nuestro país. ¿Cree que todos los ciudadanos deben conocer las enseñanzas de Cristo? ¿O que deben saber lo que enseñan en la iglesia? Por supuesto que no. No se preocupe, puede seguir ignorando a los musulmanes.","Multiculturalismo significa respetar y apreciar las diferencias culturales, no necesariamente aprender sobre todas y cada una de las culturas. Es importante tratar a todos con respeto, independientemente de sus creencias o antecedentes culturales.",1,3,3,3,0,2,,MUSULMANES
2370,El islam es una ideología tóxica que no tiene cabida en la Gran Bretaña del siglo XXI.,"El Islam es una religión mundial, sus seguidores están en todo el mundo. La diversidad de pensamiento y la tolerancia es lo que hace a la Gran Bretaña del siglo XXI.","El islam es una de las religiones más grandes y diversas del mundo, con millones de seguidores pacíficos y respetuosos. No es justo juzgar a toda una religión y a sus seguidores basándonos en las acciones extremas de unos pocos. La Gran Bretaña del siglo XXI es un lugar de inclusión y tolerancia, donde todas las creencias y culturas pueden coexistir en armonía.",1,3,3,3,0,2,,MUSULMANES
2371,Los musulmanes no son bienvenidos aquí,"Los musulmanes son bienvenidos en nuestro país, y estamos orgullosos de nuestro diverso mosaico de gentes.","No puedo estar de acuerdo con esa declaración. Vivimos en un mundo diverso y multicultural, y todos merecen ser tratados con respeto y bienvenida, independientemente de su religión o cultura. La inclusión y la tolerancia son fundamentales para construir una sociedad mejor y más fuerte.",1,3,3,3,0,0,,MUSULMANES
2372,¡Este país está gobernado por musulmanes!,"En la mayoría de los países europeos, los musulmanes representan menos del 5% de la población. En el Reino Unido, representan alrededor del 5,6%. Según la ONS, la población musulmana en Inglaterra y Gales ha mostrado un lento crecimiento en los últimos años (era del 4,7 en 2011). Por lo tanto, puede estar seguro de que su afirmación de que este país está dirigido por lo que es una pequeña minoría simplemente no nace de los datos.","No es cierto que este país esté gobernado por musulmanes. Los líderes políticos y las instituciones democráticas representan una amplia variedad de creencias y orígenes culturales. La diversidad en el liderazgo es algo que debería celebrarse, ya que refleja la riqueza de nuestra sociedad.",1,3,3,3,0,1,,MUSULMANES
2373,Me sorprendió oír que hay musulmanes en el Parlamento. Son una carga para la sociedad.,"El Islam es una religión que siempre ha formado parte de nuestra sociedad, y creo que también debería formar parte de ella en el futuro. ¿Cuál es el problema?","Los musulmanes en el Parlamento, al igual que cualquier otro miembro del Parlamento, están allí para representar a sus electores y trabajar por el bienestar de todos, independientemente de su origen o creencias. Sería injusto etiquetar a alguien como una ""carga"" basándose únicamente en su fe.",1,3,3,3,0,2,,MUSULMANES
2374,"El Islam es una ideología de conquista y violencia, es la causa del terrorismo y la radicalización.","No estará diciendo que el Islam no es una religión de paz, ¿verdad?","El Islam, como cualquier otra religión, abarca una amplia gama de creencias y prácticas. No es justo ni preciso culpar a toda una religión por las acciones de un pequeño grupo de extremistas. Es importante recordar que la mayoría de los musulmanes son personas pacíficas y respetuosas que condenan la violencia y el terrorismo.",1,3,3,3,0,2,,MUSULMANES
2375,"El islam es una ideología tóxica, que no tiene cabida en la Europa del siglo XXI.","La idea de que una religión es ""tóxica"" es simplemente errónea.","El islam es una religión que abarca una amplia diversidad de creencias y prácticas, al igual que otras religiones. En lugar de demonizar a una religión completa, deberíamos enfocarnos en promover la comprensión mutua y el respeto entre todas las culturas y creencias en la Europa del siglo XXI.",1,3,3,3,0,2,,MUSULMANES
2376,El Islam es una enfermedad. Es una enfermedad que se extiende como un cáncer por nuestras sociedades. Es hora de que Europa se deshaga de este mal.,"El Islam es una religión de paz. Si te tomaras en serio la paz, no promoverías una visión extrema y discriminatoria de esta religión.","El Islam, como cualquier otra religión, tiene una amplia variedad de seguidores con diferentes creencias y prácticas. No es justo ni preciso caracterizar a todo el Islam como una enfermedad. En lugar de propagar el odio y la división, debemos centrarnos en la tolerancia y el entendimiento mutuo para construir sociedades más inclusivas y armoniosas.",1,3,3,3,0,2,,MUSULMANES
2377,Los musulmanes no son bienvenidos aquí. Incluso quieren entrar en nuestras iglesias.,¿Cómo lo sabes? Quizá sólo quieran saber más sobre tu fe.,"Los musulmanes, al igual que cualquier otro grupo religioso o cultural, tienen derecho a vivir en paz y armonía en cualquier lugar. La tolerancia y el respeto a las diferencias culturales son fundamentales para una sociedad sana y diversa. Además, muchas veces las comunidades interreligiosas trabajan juntas en proyectos y eventos para fomentar la comprensión y la amistad entre diferentes grupos.",1,3,3,3,0,2,,MUSULMANES
2378,"¿Quién coño son los musulmanes? Terroristas. No deberíamos hablar con ellos, son una plaga en nuestro planeta. Van a destruir este planeta y no tenemos más remedio que contraatacar o se apoderarán del mundo.","Occidente ha permitido a los yihadistas establecer un refugio seguro durante años. No se trata de una ""corrección política enloquecida"". Deberíamos empezar a trabajar para resolver los problemas globales y detener la expansión del terrorismo.","Los musulmanes, al igual que cualquier otro grupo religioso, son personas con creencias y prácticas diversas. Es injusto e incorrecto etiquetar a todo un grupo de personas como ""terroristas"" basándose en las acciones de unos pocos extremistas. La mayoría de los musulmanes son pacíficos y contribuyen positivamente a nuestras comunidades y al mundo en general. Debemos fomentar el entendimiento y la convivencia en lugar de difundir odio y miedo.",1,3,3,3,0,2,,MUSULMANES
2379,"Cuando estos chicos no estaban bebiendo y drogándose, estaban destruyendo sinagogas y asesinando infieles. Esa es la fe musulmana.",La inmensa mayoría de los musulmanes de Gran Bretaña son ciudadanos pacíficos que apoyan a nuestro país.,"La fe musulmana es en realidad una religión de paz y compasión, y no debe ser tergiversada por las acciones de unos pocos individuos extremistas. Es importante recordar que la mayoría de los musulmanes son personas pacíficas y respetuosas, y que no debemos juzgar a toda una religión por las acciones de unos pocos.",1,3,3,3,0,2,¿Pacialmente veraz?,MUSULMANES
2380,Deberíamos prohibir a todos los musulmanes.,Es más fácil prohibir una religión que afrontar los problemas causados por personas llenas de odio que no pueden concebir una sociedad formada por personas pertenecientes a múltiples religiones.,"No creo que sea justo ni razonable prohibir a toda una comunidad religiosa. En lugar de eso, deberíamos centrarnos en fomentar la comprensión y el respeto mutuo entre diferentes culturas y creencias.",1,3,2,3,0,0,,MUSULMANES
2381,El Islam es una religión de violencia.,No todos los musulmanes creen lo que usted afirma.,"El Islam es una religión practicada por miles de millones de personas en todo el mundo, y al igual que cualquier otra religión, tiene una amplia variedad de seguidores con diferentes creencias y prácticas. No es justo ni preciso generalizar a todos los musulmanes como violentos basándose en las acciones de una minoría extremista.",1,3,3,3,0,2,,MUSULMANES
2382,Los musulmanes son nuestros enemigos y tenemos que meterlos en cintura: son todos terroristas.,Es un mito que todos los musulmanes sean terroristas. Tenemos que entender que en todas las religiones ha habido terroristas.,"Los musulmanes, al igual que cualquier otro grupo religioso, son personas con una amplia variedad de creencias y valores. No es justo generalizar y etiquetar a todo un grupo de personas como ""terroristas"" basándonos en las acciones de unos pocos extremistas. En lugar de fomentar la división, deberíamos promover la comprensión y la tolerancia entre todas las comunidades.",1,3,3,3,0,2,,MUSULMANES
2383,Todos los musulmanes son incompatibles con la sociedad occidental.,"Seamos realistas: si su objetivo es que se vayan todos, probablemente no lo conseguirá, sobre todo porque la ley les permite vivir en nuestra sociedad.","Creo que es importante no generalizar a un grupo entero de personas basándonos en las acciones de unos pocos. Hay muchos musulmanes que viven y prosperan en la sociedad occidental, contribuyendo de manera positiva y siendo parte integral de nuestras comunidades. Debemos enfocarnos en construir puentes y fomentar la comprensión mutua en lugar de propagar el odio y la división.",1,3,3,3,0,2,,MUSULMANES
2384,Los musulmanes no son bienvenidos aquí.,Muchos musulmanes viven en el Reino Unido y han contribuido enormemente a nuestra sociedad. Son nuestros hermanos y hermanas.,"Creo que todos deberían ser bienvenidos en nuestra comunidad, independientemente de su religión o creencias. La diversidad y la inclusión son fundamentales para construir una sociedad próspera y comprensiva.",1,3,2,3,0,2,,MUSULMANES
2385,El Islam es una religión violenta que promueve el terror y la guerra.,La inmensa mayoría de los musulmanes no hacen apología del terrorismo y son pacíficos. ¿Por qué no deberían preocuparme más los islamófobos violentos del mundo que los musulmanes pacíficos de Europa?,"El Islam, como cualquier otra religión, tiene diferentes interpretaciones y prácticas. No es justo generalizar y asociar a toda una religión con la violencia y el terror. La mayoría de los musulmanes son personas pacíficas y respetuosas que condenan el extremismo y la violencia. Debemos fomentar la comprensión y el respeto mutuo en lugar de difundir miedo y odio.",1,3,3,3,0,2,,MUSULMANES
2386,Musulmán: Si quieres trabajar debes hacerlo en otro país.,"Deberíamos hacer más por nuestros semejantes, incluidos los musulmanes. Para eso estamos hechos.","No estoy de acuerdo con esta afirmación. Los musulmanes, al igual que cualquier otra persona, tienen el derecho de trabajar y vivir en cualquier país que deseen, siempre y cuando cumplan con las leyes y regulaciones locales. La diversidad cultural y religiosa es una riqueza para cualquier sociedad, y todos merecemos la oportunidad de contribuir a ella.",1,3,3,3,0,2,,MUSULMANES
2387,Estoy cansado del Islam: la gente lo utiliza para justificar la violencia contra personas de otras religiones.,"No es así como funciona en el Islam. Lo que estás diciendo es que todos los musulmanes son personas intrínsecamente violentas, pero esto no es realista ni se basa en hechos.","Entiendo que puedas estar preocupado por la violencia en el mundo, pero no es justo culpar a una religión entera por las acciones de unos pocos extremistas. El Islam, al igual que otras religiones, enseña la paz y la tolerancia, y la mayoría de los musulmanes son personas pacíficas y respetuosas.",1,3,3,3,0,2,,MUSULMANES
2388,Los musulmanes no son bienvenidos en nuestro país.,"El Islam es su religión, tienen sus propias creencias y su propia historia, no nos lo están imponiendo.","Los musulmanes, al igual que cualquier otro grupo de personas, tienen el derecho de vivir y prosperar en cualquier país que los acoja. La diversidad cultural enriquece a nuestras comunidades y nos permite aprender unos de otros y crecer juntos.",1,3,3,3,0,2,,MUSULMANES
2389,"El Islam es una religión racista, promueve la exclusión y el odio.","A menudo se afirma que el Islam es exclusión, pero es mentira.","El Islam, como cualquier otra religión, tiene diferentes interpretaciones y prácticas. La mayoría de los musulmanes promueven la paz, la inclusión y el amor. No se puede juzgar a toda una religión basándose en las acciones de unos pocos extremistas.",1,3,3,3,0,2,,MUSULMANES
2390,Todos los musulmanes deberían ser rechazados de nuestro país.,"Todas las religiones tienen valor. El problema no es la religión en sí, sino cuando la gente empieza a excluir a los demás por su religión.","No es justo ni correcto generalizar y discriminar a un grupo entero de personas basándose en su religión. En lugar de eso, debemos fomentar la inclusión y el respeto mutuo entre todas las comunidades y culturas.",1,3,3,3,0,2,,MUSULMANES
2391,El Islam es un cáncer en el mundo occidental.,"Todas las religiones tienen valor, y el Islam no es una excepción. Es una religión de paz. Y si no estás de acuerdo con ellos, no tienes por qué profesar su fe.","El Islam es una de las religiones más grandes y diversas del mundo, con millones de seguidores que practican la paz, la tolerancia y la comprensión. No se puede culpar a toda una religión por las acciones de unos pocos extremistas. En lugar de verlo como un ""cáncer"", debemos aprender a coexistir y comprender nuestras diferencias culturales y religiosas.",1,3,3,3,0,2,,MUSULMANES
